Well_ID,Depth,GAM(NAT),RES(16N),RES(64N),NEUTRON,Interpretation,Interpretation_N
1-T-209,184.9,94.589,181.99,227.953,715.718,Dry,0
1-T-209,185,73.7914,181.553,227.953,646.231,Dry,0
1-T-209,185.1,115.387,183.026,225,618.436,Dry,0
1-T-209,185.2,125.785,182.842,225,680.974,Dry,0
1-T-209,185.3,110.187,181.139,225,576.744,Dry,0
1-T-209,185.4,84.1902,180.586,212.598,625.385,Dry,0
1-T-209,185.5,73.7914,180.08,212.598,618.436,Dry,0
1-T-209,185.6,125.785,179.942,208.465,667.077,Dry,0
1-T-209,185.7,136.184,177.824,207.283,694.872,Dry,0
1-T-209,185.8,115.387,173.956,207.283,590.641,Dry,0
1-T-209,185.9,104.988,170.089,204.331,674.026,Dry,0
1-T-209,186,42.5951,168.846,204.331,632.333,Dry,0
1-T-209,186.1,73.7914,168.34,204.331,715.718,Dry,0
1-T-209,186.2,73.7914,168.109,204.331,736.564,Dry,0
1-T-209,186.3,63.3926,166.912,204.331,674.026,Dry,0
1-T-209,186.4,84.1902,166.176,204.331,646.231,Dry,0
1-T-209,186.5,63.3926,164.979,204.331,569.795,Dry,0
1-T-209,186.6,99.7883,164.104,205.512,548.949,Dry,0
1-T-209,186.7,125.785,163.805,208.465,701.82,Dry,0
1-T-209,186.8,89.3896,163.505,208.465,653.18,Dry,0
1-T-209,186.9,94.589,163.597,209.646,576.744,Dry,0
1-T-209,187,52.9939,162.907,207.283,632.333,Dry,0
1-T-209,187.1,73.7914,163.045,207.283,639.282,Dry,0
1-T-209,187.2,84.1902,162.262,199.016,736.564,Dry,0
1-T-209,187.3,156.982,159.96,199.016,521.154,Dry,0
1-T-209,187.4,115.387,158.119,191.929,680.974,Dry,0
1-T-209,187.5,115.387,164.035,191.929,674.026,Dry,0
1-T-209,187.6,94.589,166.636,191.929,500.308,Dry,0
1-T-209,187.7,42.5951,166.797,191.929,708.769,Dry,0
1-T-209,187.8,125.785,157.474,191.929,677.5,Dry,0
1-T-209,187.9,104.988,157.382,191.929,680.974,Dry,0
1-T-209,188,94.589,157.244,193.11,726.141,Dry,0
1-T-209,188.1,63.3926,156.829,193.11,562.846,Dry,0
1-T-209,188.2,136.184,156.369,193.11,667.077,Dry,0
1-T-209,188.3,42.5951,154.113,194.291,555.897,Dry,0
1-T-209,188.4,104.988,156.783,196.063,611.487,Dry,0
1-T-209,188.5,104.988,156.461,196.063,569.795,Dry,0
1-T-209,188.6,89.3896,156.876,197.244,694.872,Dry,0
1-T-209,188.7,104.988,156.231,190.157,590.641,Dry,0
1-T-209,188.8,73.7914,156.507,190.157,674.026,Dry,0
1-T-209,188.9,32.1963,156.507,186.024,694.872,Dry,0
1-T-209,189,73.7914,156.737,183.661,583.692,Dry,0
1-T-209,189.1,208.975,157.29,183.661,514.205,Dry,0
1-T-209,189.2,115.387,157.106,181.89,555.897,Dry,0
1-T-209,189.3,167.38,157.152,181.89,507.256,Dry,0
1-T-209,189.4,115.387,156.645,181.89,493.359,Dry,0
1-T-209,189.5,125.785,156.185,181.89,646.231,Dry,0
1-T-209,189.6,125.785,156.277,181.89,625.385,Dry,0
1-T-209,189.7,115.387,160.743,181.89,569.795,Dry,0
1-T-209,189.8,125.785,162.216,181.89,569.795,Dry,0
1-T-209,189.9,162.181,146.701,183.661,535.051,Dry,0
1-T-209,190,136.184,123.22,183.661,562.846,Dry,0
1-T-209,190.1,136.184,145.734,184.843,569.795,Dry,0
1-T-209,190.2,115.387,156.737,184.843,423.872,Dry,0
1-T-209,190.3,63.3926,155.909,186.024,396.077,Dry,0
1-T-209,190.4,99.7883,155.586,186.024,569.795,Dry,0
1-T-209,190.5,146.583,156.047,188.976,535.051,Dry,0
1-T-209,190.6,84.1902,156.323,188.976,548.949,Dry,0
1-T-209,190.7,125.785,157.29,188.976,611.487,Dry,0
1-T-209,190.8,125.785,156.922,188.976,514.205,Dry,0
1-T-209,190.9,125.785,156.139,188.976,576.744,Dry,0
1-T-209,191,94.589,151.213,188.976,542,Dry,0
1-T-209,191.1,156.982,148.312,188.976,618.436,Dry,0
1-T-209,191.2,104.988,143.109,190.157,674.026,Dry,0
1-T-209,191.3,104.988,155.725,190.157,507.256,Dry,0
1-T-209,191.4,84.1902,162.538,190.157,667.077,Dry,0
1-T-209,191.5,94.589,160.144,190.157,889.436,Dry,0
1-T-209,191.6,136.184,163.091,190.157,660.128,Dry,0
1-T-209,191.7,84.1902,164.656,190.157,583.692,Dry,0
1-T-209,191.8,94.589,162.861,190.157,632.333,Dry,0
1-T-209,191.9,125.785,161.249,187.795,604.538,Dry,0
1-T-209,192,115.387,148.634,184.843,521.154,Dry,0
1-T-209,192.1,104.988,133.971,180.709,576.744,Dry,0
1-T-209,192.2,198.577,133.257,180.709,597.59,Dry,0
1-T-209,192.3,136.184,131.116,180.709,521.154,Dry,0
1-T-209,192.4,167.38,129.62,176.575,580.218,Dry,0
1-T-209,192.5,125.785,127.456,175.394,507.256,Dry,0
1-T-209,192.6,167.38,122.99,175.394,573.269,Dry,0
1-T-209,192.7,136.184,117.741,173.622,507.256,Dry,0
1-T-209,192.8,84.1902,114.196,173.622,437.769,Dry,0
1-T-209,192.9,136.184,113.183,173.622,562.846,Dry,0
1-T-209,193,115.387,114.795,169.488,639.282,Dry,0
1-T-209,193.1,84.1902,172.8825,338.976,632.333,Water,1
1-T-209,193.2,42.5951,173.574,338.976,840.795,Water,1
1-T-209,193.3,32.1963,173.643,338.976,840.795,Water,1
1-T-209,193.4,42.5951,174.816,338.976,868.59,Water,1
1-T-209,193.5,32.1963,176.4735,338.976,778.256,Water,1
1-T-209,193.6,84.1902,177.027,338.976,861.641,Water,1
1-T-209,193.7,26.9969,177.441,338.976,819.949,Water,1
1-T-209,193.8,11.3988,178.545,338.976,729.615,Water,1
1-T-209,193.9,21.7975,180.687,324.804,736.564,Water,1
1-T-209,194,11.3988,185.5905,328.346,806.051,Water,1
1-T-209,194.1,11.3988,193.842,330.708,799.103,Water,1
1-T-209,194.2,1,208.035,330.708,833.846,Water,1
1-T-209,194.3,21.7975,226.611,341.338,868.59,Water,1
1-T-209,194.4,11.3988,233.034,347.244,837.32,Water,1
1-T-209,194.5,26.9969,227.4405,353.15,840.795,Water,1
1-T-209,194.6,11.3988,234.4155,372.048,680.974,Water,1
1-T-209,194.7,32.1963,232.689,383.858,778.256,Water,1
1-T-209,194.8,73.7914,234.9675,394.488,750.462,Water,1
1-T-209,194.9,63.3926,235.2435,394.488,680.974,Water,1
1-T-209,195,11.3988,235.383,394.488,715.718,Water,1
1-T-209,195.1,1,235.2435,392.126,785.205,Water,1
1-T-209,195.2,52.9939,236.211,388.582,694.872,Water,1
1-T-209,195.3,11.3988,236.073,388.582,764.359,Water,1
1-T-209,195.4,21.7975,235.797,388.582,861.641,Water,1
1-T-209,195.5,26.9969,235.659,388.582,722.667,Water,1
1-T-209,195.6,32.1963,237.0045,394.488,701.82,Water,1
1-T-209,195.7,11.3988,238.5585,394.488,736.564,Water,1
1-T-209,195.8,32.1963,240.5625,394.488,715.718,Water,1
1-T-209,195.9,42.5951,241.3215,394.488,719.192,Water,1
1-T-209,196,11.3988,241.8045,394.488,576.744,Water,1
1-T-209,196.1,63.3926,241.5975,394.488,653.18,Water,1
1-T-209,196.2,42.5951,241.5975,394.488,708.769,Water,1
1-T-209,196.3,1,242.22,394.488,674.026,Water,1
1-T-209,196.4,11.3988,243.186,394.488,597.59,Water,1
1-T-209,196.5,58.1933,244.9125,394.488,660.128,Water,1
1-T-209,196.6,63.3926,247.8135,394.488,597.59,Water,1
1-T-209,196.7,21.7975,249.333,394.488,656.654,Water,1
1-T-209,196.8,42.5951,249.471,394.488,653.18,Water,1
1-T-209,196.9,32.1963,250.713,394.488,604.538,Water,1
1-T-209,197,37.3957,249.195,394.488,674.026,Water,1
1-T-209,197.1,73.7914,164.518,197.244,528.103,Dry,0
1-T-209,197.2,63.3926,163.183,197.244,507.256,Dry,0
1-T-209,197.3,84.1902,162.4,197.244,396.077,Dry,0
1-T-209,197.4,136.184,161.779,197.244,368.282,Dry,0
1-T-209,197.5,115.387,160.743,197.244,371.756,Dry,0
1-T-209,197.6,63.3926,159.638,194.291,403.026,Dry,0
1-T-209,197.7,104.988,159.546,190.157,423.872,Dry,0
1-T-209,197.8,63.3926,153.238,190.157,361.333,Dry,0
1-T-209,197.9,73.7914,162.124,191.929,396.077,Dry,0
1-T-209,198,94.589,162.769,191.929,340.487,Dry,0
1-T-209,198.1,136.184,162.631,191.929,409.974,Dry,0
1-T-209,198.2,125.785,161.433,191.929,455.141,Dry,0
1-T-209,198.3,198.577,160.743,191.929,403.026,Dry,0
1-T-209,198.4,146.583,162.308,196.063,430.821,Dry,0
1-T-209,198.5,146.583,161.94,196.063,326.59,Dry,0
1-T-209,198.6,104.988,161.572,191.929,479.462,Dry,0
1-T-209,198.7,136.184,161.019,193.11,479.462,Dry,0
1-T-209,198.8,136.184,161.111,196.063,444.718,Dry,0
1-T-209,198.9,73.7914,161.94,196.063,403.026,Dry,0
1-T-209,199,136.184,162.861,196.063,528.103,Dry,0
1-T-209,199.1,167.38,163.091,196.063,555.897,Dry,0
1-T-209,199.2,73.7914,155.771,196.063,562.846,Dry,0
1-T-209,199.3,136.184,157.336,196.063,500.308,Dry,0
1-T-209,199.4,125.785,163.459,194.291,521.154,Dry,0
1-T-209,199.5,167.38,157.658,194.291,493.359,Dry,0
1-T-209,199.6,177.779,163.782,194.291,423.872,Dry,0
1-T-209,199.7,115.387,163.966,194.291,500.308,Dry,0
1-T-209,199.8,156.982,163.689,193.11,528.103,Dry,0
1-T-209,199.9,115.387,162.446,193.11,465.564,Dry,0
1-T-209,200,125.785,161.157,193.11,493.359,Dry,0
1-T-209,200.1,177.779,159.454,193.11,542,Dry,0
1-T-209,200.2,136.184,158.234,193.11,555.897,Dry,0
1-T-209,200.3,167.38,158.303,191.929,535.051,Dry,0
1-T-209,200.4,84.1902,158.947,191.929,403.026,Dry,0
1-T-209,200.5,104.988,159.085,191.929,542,Dry,0
1-T-209,200.6,130.985,158.441,191.929,528.103,Dry,0
1-T-209,200.7,104.988,157.336,191.929,639.282,Dry,0
1-T-209,200.8,104.988,156.461,191.929,528.103,Dry,0
1-T-209,200.9,219.374,156.323,191.929,521.154,Dry,0
1-T-209,201,136.184,156.968,191.929,521.154,Dry,0
1-T-209,201.1,177.779,157.382,190.157,458.615,Dry,0
1-T-209,201.2,188.178,157.382,190.157,493.359,Dry,0
1-T-209,201.3,188.178,157.198,190.157,500.308,Dry,0
1-T-209,201.4,188.178,156.369,190.157,472.513,Dry,0
1-T-209,201.5,250.571,155.909,190.157,423.872,Dry,0
1-T-209,201.6,214.175,154.988,188.976,423.872,Dry,0
1-T-209,201.7,219.374,153.745,188.976,514.205,Dry,0
1-T-209,201.8,375.356,153.008,188.976,573.269,Dry,0
1-T-209,201.9,281.767,152.916,187.795,514.205,Dry,0
1-T-209,202,364.957,152.709,187.795,493.359,Dry,0
1-T-209,202.1,333.761,152.225,187.795,472.513,Dry,0
1-T-209,202.2,354.558,151.305,187.795,618.436,Dry,0
1-T-209,202.3,271.368,151.213,187.795,542,Dry,0
1-T-209,202.4,312.963,150.706,187.795,722.667,Dry,0
1-T-209,202.5,354.558,150.43,187.795,590.641,Dry,0
1-T-209,202.6,271.368,150.338,187.795,562.846,Dry,0
1-T-209,202.7,208.975,150.66,187.795,535.051,Dry,0
1-T-209,202.8,260.969,151.351,187.795,444.718,Dry,0
1-T-209,202.9,292.166,152.364,187.795,542,Dry,0
1-T-209,203,260.969,152.778,187.795,493.359,Dry,0
1-T-209,203.1,198.577,152.962,186.024,542,Dry,0
1-T-209,203.2,271.368,154.067,186.024,493.359,Dry,0
1-T-209,203.3,198.577,154.758,186.024,437.769,Dry,0
1-T-209,203.4,229.773,154.758,186.024,451.667,Dry,0
1-T-209,203.5,281.767,155.333,186.024,479.462,Dry,0
1-T-209,203.6,219.374,156.507,186.024,465.564,Dry,0
1-T-209,203.7,198.577,157.934,186.024,583.692,Dry,0
1-T-209,203.8,260.969,158.303,186.024,542,Dry,0
1-T-209,203.9,162.181,158.947,186.024,653.18,Dry,0
1-T-209,204,364.957,160.697,186.024,653.18,Dry,0
1-T-209,204.1,188.178,161.157,186.024,667.077,Dry,0
1-T-209,204.2,323.362,161.664,184.843,590.641,Dry,0
1-T-209,204.3,188.178,162.492,184.843,757.41,Dry,0
1-T-209,204.4,234.972,163.367,184.843,708.769,Dry,0
1-T-209,204.5,219.374,162.815,184.843,555.897,Dry,0
1-T-209,204.6,146.583,162.815,184.843,653.18,Dry,0
1-T-209,204.7,136.184,162.769,184.843,514.205,Dry,0
1-T-209,204.8,146.583,161.295,184.843,479.462,Dry,0
1-T-209,204.9,167.38,159.868,184.843,472.513,Dry,0
1-T-209,205,136.184,158.809,183.661,555.897,Dry,0
1-T-209,205.1,94.589,158.487,183.661,486.41,Dry,0
1-T-209,205.2,136.184,157.014,183.661,562.846,Dry,0
1-T-209,205.3,156.982,156.645,183.661,667.077,Dry,0
1-T-209,205.4,63.3926,156.047,183.661,500.308,Dry,0
1-T-209,205.5,136.184,155.218,183.661,521.154,Dry,0
1-T-209,205.6,146.583,154.067,181.89,535.051,Dry,0
1-T-209,205.7,73.7914,153.653,180.709,555.897,Dry,0
1-T-209,205.8,136.184,153.883,179.528,660.128,Dry,0
1-T-209,205.9,104.988,153.146,179.528,743.513,Dry,0
1-T-209,206,146.583,152.41,177.756,618.436,Dry,0
1-T-209,206.1,188.178,151.443,177.756,562.846,Dry,0
1-T-209,206.2,188.178,149.785,177.756,576.744,Dry,0
1-T-209,206.3,167.38,149.049,177.756,458.615,Dry,0
1-T-209,206.4,198.577,148.128,177.756,562.846,Dry,0
1-T-209,206.5,208.975,147.76,177.756,618.436,Dry,0
1-T-209,206.6,146.583,147.529,176.575,701.82,Dry,0
1-T-209,206.7,110.187,147.391,176.575,660.128,Dry,0
1-T-209,206.8,136.184,147.852,176.575,542,Dry,0
1-T-209,206.9,177.779,147.76,176.575,618.436,Dry,0
1-T-209,207,115.387,147.575,176.575,625.385,Dry,0
1-T-209,207.1,52.9939,147.575,176.575,594.115,Dry,0
1-T-209,207.2,125.785,147.115,176.575,562.846,Dry,0
1-T-209,207.3,115.387,146.793,176.575,625.385,Dry,0
1-T-209,207.4,177.779,146.332,177.756,618.436,Dry,0
1-T-209,207.5,104.988,145.918,177.756,583.692,Dry,0
1-T-209,207.6,177.779,145.688,177.756,632.333,Dry,0
1-T-209,207.7,115.387,145.273,177.756,528.103,Dry,0
1-T-209,207.8,136.184,144.767,177.756,548.949,Dry,0
1-T-209,207.9,104.988,144.122,177.756,396.077,Dry,0
1-T-209,208,115.387,143.432,179.528,562.846,Dry,0
1-T-209,208.1,84.1902,142.511,179.528,521.154,Dry,0
1-T-209,208.2,156.982,141.728,179.528,576.744,Dry,0
1-T-209,208.3,136.184,140.946,180.709,576.744,Dry,0
1-T-209,208.4,115.387,140.715,180.709,489.885,Dry,0
1-T-209,208.5,146.583,140.117,180.709,590.641,Dry,0
1-T-209,208.6,146.583,140.025,180.709,375.231,Dry,0
1-T-209,208.7,125.785,139.795,180.709,625.385,Dry,0
1-T-209,208.8,104.988,139.518,180.709,507.256,Dry,0
1-T-209,208.9,167.38,139.61,179.528,514.205,Dry,0
1-T-209,209,136.184,139.334,179.528,472.513,Dry,0
1-T-209,209.1,188.178,139.196,179.528,542,Dry,0
1-T-209,209.2,125.785,139.196,179.528,611.487,Dry,0
1-T-209,209.3,104.988,139.242,176.575,569.795,Dry,0
1-T-209,209.4,146.583,139.058,176.575,458.615,Dry,0
1-T-209,209.5,125.785,138.598,176.575,555.897,Dry,0
1-T-209,209.6,156.982,138.183,175.394,493.359,Dry,0
1-T-209,209.7,104.988,138.275,175.394,500.308,Dry,0
1-T-209,209.8,219.374,138.782,175.394,514.205,Dry,0
1-T-209,209.9,177.779,139.058,173.622,538.526,Dry,0
1-T-209,210,219.374,139.15,173.622,444.718,Dry,0
1-T-209,210.1,94.589,138.966,173.622,521.154,Dry,0
1-T-209,210.2,156.982,138.644,173.622,368.282,Dry,0
1-T-209,210.3,146.583,138.505,173.622,604.538,Dry,0
1-T-209,210.4,136.184,138.321,173.622,569.795,Dry,0
1-T-209,210.5,156.982,138.505,173.622,451.667,Dry,0
1-T-209,210.6,73.7914,139.38,173.622,562.846,Dry,0
1-T-209,210.7,115.387,139.979,173.622,562.846,Dry,0
1-T-209,210.8,156.982,141.268,173.622,576.744,Dry,0
1-T-209,210.9,84.1902,143.386,175.394,576.744,Dry,0
1-T-209,211,167.38,145.319,175.394,562.846,Dry,0
1-T-209,211.1,260.969,146.332,176.575,694.872,Dry,0
1-T-209,211.2,177.779,146.056,176.575,576.744,Dry,0
1-T-209,211.3,156.982,144.997,179.528,632.333,Dry,0
1-T-209,211.4,104.988,144.974,179.528,548.949,Dry,0
1-T-209,211.5,198.577,144.997,179.528,618.436,Dry,0
1-T-209,211.6,94.589,144.583,179.528,611.487,Dry,0
1-T-209,211.7,156.982,144.675,180.709,680.974,Dry,0
1-T-209,211.8,156.982,144.721,180.709,819.949,Dry,0
1-T-209,211.9,167.38,145.273,180.709,618.436,Dry,0
1-T-209,212,136.184,146.194,183.661,542,Dry,0
1-T-209,212.1,177.779,146.655,183.661,639.282,Dry,0
1-T-209,212.2,104.988,146.056,183.661,507.256,Dry,0
1-T-209,212.3,125.785,145.688,183.661,569.795,Dry,0
1-T-209,212.4,115.387,145.181,187.795,576.744,Dry,0
1-T-209,212.5,84.1902,144.491,190.157,559.372,Dry,0
1-T-209,212.6,125.785,143.017,190.157,535.051,Dry,0
1-T-209,212.7,84.1902,145.573,191.929,583.692,Dry,0
1-T-209,212.8,110.187,145.458,191.929,611.487,Dry,0
1-T-209,212.9,156.982,145.135,193.11,611.487,Dry,0
1-T-209,213,177.779,145.504,196.063,590.641,Dry,0
1-T-209,213.1,136.184,146.194,197.244,667.077,Dry,0
1-T-209,213.2,167.38,146.793,197.244,625.385,Dry,0
1-T-209,213.3,167.38,148.45,197.244,576.744,Dry,0
1-T-209,213.4,125.785,150.982,197.244,583.692,Dry,0
1-T-209,213.5,208.975,152.732,197.244,646.231,Dry,0
1-T-209,213.6,125.785,154.85,196.063,576.744,Dry,0
1-T-209,213.7,167.38,156.945,196.063,674.026,Dry,0
1-T-209,213.8,193.377,159.224,194.291,708.769,Dry,0
1-T-209,213.9,167.38,162.538,194.291,868.59,Dry,0
1-T-209,214,177.779,164.656,193.11,976.295,Dry,0
1-T-209,214.1,250.571,166.222,193.11,986.718,Dry,0
1-T-209,214.2,198.577,165.899,193.11,938.077,Dry,0
1-T-209,214.3,250.571,163.966,193.11,653.18,Dry,0
1-T-209,214.4,188.178,162.262,193.11,625.385,Dry,0
1-T-209,214.5,198.577,160.144,193.11,618.436,Dry,0
1-T-209,214.6,156.982,156.507,193.11,507.256,Dry,0
1-T-209,214.7,156.982,153.192,193.11,625.385,Dry,0
1-T-209,214.8,136.184,151.12,193.11,528.103,Dry,0
1-T-209,214.9,156.982,150.338,193.11,604.538,Dry,0
1-T-209,215,177.779,149.831,186.024,597.59,Dry,0
1-T-209,215.1,136.184,149.555,183.661,528.103,Dry,0
1-T-209,215.2,219.374,150.246,183.661,548.949,Dry,0
1-T-209,215.3,240.172,150.2,183.661,521.154,Dry,0
1-T-209,215.4,188.178,150.43,183.661,583.692,Dry,0
1-T-209,215.5,146.583,150.292,183.661,535.051,Dry,0
1-T-209,215.6,167.38,152.87,187.795,639.282,Dry,0
1-T-209,215.7,240.172,154.481,187.795,618.436,Dry,0
1-T-209,215.8,208.975,152.916,188.976,698.346,Dry,0
1-T-209,215.9,240.172,159.039,188.976,813,Dry,0
1-T-209,216,229.773,162.147,190.157,847.744,Dry,0
1-T-209,216.1,260.969,164.012,191.929,924.18,Dry,0
1-T-209,216.2,146.583,159.868,191.929,785.205,Dry,0
1-T-209,216.3,229.773,162.907,191.929,674.026,Dry,0
1-T-209,216.4,146.583,160.282,190.157,548.949,Dry,0
1-T-209,216.5,208.975,157.474,188.976,507.256,Dry,0
1-T-209,216.6,115.387,154.159,187.795,507.256,Dry,0
1-T-209,216.7,125.785,150.752,184.843,409.974,Dry,0
1-T-209,216.8,250.571,148.588,184.843,472.513,Dry,0
1-T-209,216.9,198.577,146.655,180.709,493.359,Dry,0
1-T-209,217,198.577,145.365,179.528,514.205,Dry,0
1-T-209,217.1,344.16,143.662,176.575,437.769,Dry,0
1-T-209,217.2,396.153,143.34,173.622,479.462,Dry,0
1-T-209,217.3,375.356,146.424,169.488,500.308,Dry,0
1-T-209,217.4,406.552,139.518,169.488,423.872,Dry,0
1-T-209,217.5,385.755,148.749,169.488,326.59,Dry,0
1-T-209,217.6,624.926,149.555,169.488,486.41,Dry,0
1-T-209,217.7,468.945,149.969,169.488,340.487,Dry,0
1-T-209,217.8,531.337,149.463,169.488,416.923,Dry,0
1-T-209,217.9,458.546,148.634,169.488,312.692,Dry,0
1-T-209,218,188.178,147.898,169.488,479.462,Dry,0
1-T-209,218.1,250.571,147.161,169.488,284.897,Dry,0
1-T-209,218.2,198.577,146.378,169.488,312.692,Dry,0
1-T-209,218.3,198.577,146.148,169.488,437.769,Dry,0
1-T-209,218.4,115.387,146.194,168.307,465.564,Dry,0
1-T-209,218.5,136.184,145.55,168.307,409.974,Dry,0
1-T-209,218.6,73.7914,145.55,168.307,368.282,Dry,0
1-T-209,218.7,136.184,145.458,166.535,507.256,Dry,0
1-T-209,218.8,52.9939,144.606,166.535,396.077,Dry,0
1-T-209,218.9,156.982,146.47,166.535,416.923,Dry,0
1-T-209,219,156.982,147.345,166.535,347.436,Dry,0
1-T-209,219.1,115.387,145.688,165.354,496.833,Dry,0
1-T-209,219.2,104.988,147.161,165.354,521.154,Dry,0
1-T-209,219.3,104.988,146.701,165.354,451.667,Dry,0
1-T-209,219.4,110.187,146.424,165.354,521.154,Dry,0
1-T-209,219.5,84.1902,146.148,165.354,583.692,Dry,0
1-T-209,219.6,94.589,145.918,165.354,535.051,Dry,0
1-T-209,219.7,136.184,145.55,165.354,444.718,Dry,0
1-T-209,219.8,188.178,145.78,165.354,555.897,Dry,0
1-T-209,219.9,73.7914,146.194,165.354,451.667,Dry,0
1-T-209,220,146.583,146.793,166.535,486.41,Dry,0
1-T-209,220.1,52.9939,147.023,166.535,542,Dry,0
1-T-209,220.2,73.7914,147.253,166.535,548.949,Dry,0
1-T-209,220.3,73.7914,147.391,166.535,451.667,Dry,0
1-T-209,220.4,125.785,147.898,166.535,555.897,Dry,0
1-T-209,220.5,125.785,148.726,168.307,423.872,Dry,0
1-T-209,220.6,146.583,149.279,168.307,489.885,Dry,0
1-T-209,220.7,84.1902,150.43,169.488,479.462,Dry,0
1-T-209,220.8,198.577,152.018,169.488,674.026,Dry,0
1-T-209,220.9,125.785,152.364,169.488,646.231,Dry,0
1-T-209,221,125.785,152.271,169.488,868.59,Dry,0
1-T-209,221.1,125.785,152.271,169.488,608.013,Dry,0
1-T-209,221.2,115.387,152.778,169.488,646.231,Dry,0
1-T-209,221.3,73.7914,153.653,170.669,521.154,Dry,0
1-T-209,221.4,104.988,153.791,172.441,653.18,Dry,0
1-T-209,221.5,141.383,153.1,172.441,597.59,Dry,0
1-T-209,221.6,104.988,151.719,173.622,479.462,Dry,0
1-T-209,221.7,115.387,150.016,175.394,375.231,Dry,0
1-T-209,221.8,188.178,148.266,175.394,416.923,Dry,0
1-T-209,221.9,208.975,147.115,175.394,524.628,Dry,0
1-T-209,222,136.184,146.194,175.394,507.256,Dry,0
1-T-209,222.1,229.773,145.849,175.394,611.487,Dry,0
1-T-209,222.2,167.38,145.78,175.394,507.256,Dry,0
1-T-209,222.3,146.583,146.056,176.575,562.846,Dry,0
1-T-209,222.4,188.178,146.378,176.575,545.474,Dry,0
1-T-209,222.5,136.184,146.839,176.575,493.359,Dry,0
1-T-209,222.6,167.38,146.793,176.575,486.41,Dry,0
1-T-209,222.7,94.589,146.609,176.575,458.615,Dry,0
1-T-209,222.8,162.181,146.563,176.575,444.718,Dry,0
1-T-209,222.9,104.988,146.609,176.575,465.564,Dry,0
1-T-209,223,94.589,146.102,176.575,451.667,Dry,0
1-T-209,223.1,115.387,145.688,176.575,500.308,Dry,0
1-T-209,223.2,125.785,145.642,176.575,423.872,Dry,0
1-T-209,223.3,104.988,145.596,176.575,548.949,Dry,0
1-T-209,223.4,151.782,145.319,176.575,430.821,Dry,0
1-T-209,223.5,130.985,144.813,176.575,430.821,Dry,0
